City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Saint George,US,2022-07-21 21:54:19,37.1041,-113.5841,110.43,12,0,14.97
278,Aklavik,CA,2022-07-21 21:55:48,68.2191,-135.0107,66.2,63,75,8.05
279,Hithadhoo,MV,2022-07-21 21:56:04,-0.6,73.0833,80.51,73,100,8.12
280,Bodden Town,KY,2022-07-21 21:56:05,19.2833,-81.25,89.6,69,40,10.36
281,Labrea,BR,2022-07-21 21:56:05,-7.2586,-64.7981,83.77,52,22,0.78
282,Beloha,MG,2022-07-21 21:56:01,-25.1667,45.05,64.35,82,1,5.46
283,Saint-Philippe,RE,2022-07-21 21:55:54,-21.3585,55.7679,64.22,84,52,13.27
284,Safaga,EG,2022-07-21 21:56:06,26.7292,33.9365,89.44,29,0,13.67
285,Nuuk,GL,2022-07-21 21:56:07,64.1835,-51.7216,48.43,81,69,13.31
286,Oistins,BB,2022-07-21 21:56:07,13.0667,-59.5333,84.29,74,20,21.85
287,Okha,RU,2022-07-21 21:56:08,53.5739,142.9478,54.52,87,100,13.4
288,Sinnamary,GF,2022-07-21 21:56:08,5.3833,-52.95,78.4,84,22,8.41
289,Ossora,RU,2022-07-21 21:56:09,59.2353,163.0719,61.14,61,1,6.2
290,Constitucion,CL,2022-07-21 21:55:56,-35.3333,-72.4167,54.34,86,48,10.49
291,Malinovoye Ozero,RU,2022-07-21 21:53:06,51.6753,79.7825,65.26,73,26,6.87
292,Esperanza,DO,2022-07-21 21:56:10,19.5847,-70.9849,84.69,52,8,14.99
